design,order,po_index,po_gate_id,po_name,bdd_size,status,png,report,dot,log,dofile
mult_8,dfs,14,494,p[14],338,ok,results/mult_8/dfs/mult_8_dfs_po14_p_14.png,results/mult_8/dfs/mult_8_dfs_po14_p_14.bdd.txt,results/mult_8/dfs/mult_8_dfs_po14_p_14.dot,results/mult_8/dfs/mult_8_dfs_po14_p_14.log,results/mult_8/dfs/mult_8_dfs_po14_p_14.do
mult_8,dfs,15,495,p[15],135,ok,results/mult_8/dfs/mult_8_dfs_po15_p_15.png,results/mult_8/dfs/mult_8_dfs_po15_p_15.bdd.txt,results/mult_8/dfs/mult_8_dfs_po15_p_15.dot,results/mult_8/dfs/mult_8_dfs_po15_p_15.log,results/mult_8/dfs/mult_8_dfs_po15_p_15.do
mult_8,rdfs,0,480,p[0],3,ok,results/mult_8/rdfs/mult_8_rdfs_po00_p_0.png,results/mult_8/rdfs/mult_8_rdfs_po00_p_0.bdd.txt,results/mult_8/rdfs/mult_8_rdfs_po00_p_0.dot,results/mult_8/rdfs/mult_8_rdfs_po00_p_0.log,results/mult_8/rdfs/mult_8_rdfs_po00_p_0.do
mult_8,rdfs,1,481,p[1],7,ok,results/mult_8/rdfs/mult_8_rdfs_po01_p_1.png,results/mult_8/rdfs/mult_8_rdfs_po01_p_1.bdd.txt,results/mult_8/rdfs/mult_8_rdfs_po01_p_1.dot,results/mult_8/rdfs/mult_8_rdfs_po01_p_1.log,results/mult_8/rdfs/mult_8_rdfs_po01_p_1.do
mult_8,rdfs,2,482,p[2],13,ok,results/mult_8/rdfs/mult_8_rdfs_po02_p_2.png,results/mult_8/rdfs/mult_8_rdfs_po02_p_2.bdd.txt,results/mult_8/rdfs/mult_8_rdfs_po02_p_2.dot,results/mult_8/rdfs/mult_8_rdfs_po02_p_2.log,results/mult_8/rdfs/mult_8_rdfs_po02_p_2.do
mult_8,rdfs,3,483,p[3],30,ok,results/mult_8/rdfs/mult_8_rdfs_po03_p_3.png,results/mult_8/rdfs/mult_8_rdfs_po03_p_3.bdd.txt,results/mult_8/rdfs/mult_8_rdfs_po03_p_3.dot,results/mult_8/rdfs/mult_8_rdfs_po03_p_3.log,results/mult_8/rdfs/mult_8_rdfs_po03_p_3.do
mult_8,rdfs,4,484,p[4],62,ok,results/mult_8/rdfs/mult_8_rdfs_po04_p_4.png,results/mult_8/rdfs/mult_8_rdfs_po04_p_4.bdd.txt,results/mult_8/rdfs/mult_8_rdfs_po04_p_4.dot,results/mult_8/rdfs/mult_8_rdfs_po04_p_4.log,results/mult_8/rdfs/mult_8_rdfs_po04_p_4.do
mult_8,rdfs,5,485,p[5],144,ok,results/mult_8/rdfs/mult_8_rdfs_po05_p_5.png,results/mult_8/rdfs/mult_8_rdfs_po05_p_5.bdd.txt,results/mult_8/rdfs/mult_8_rdfs_po05_p_5.dot,results/mult_8/rdfs/mult_8_rdfs_po05_p_5.log,results/mult_8/rdfs/mult_8_rdfs_po05_p_5.do
mult_8,rdfs,6,486,p[6],325,ok,results/mult_8/rdfs/mult_8_rdfs_po06_p_6.png,results/mult_8/rdfs/mult_8_rdfs_po06_p_6.bdd.txt,results/mult_8/rdfs/mult_8_rdfs_po06_p_6.dot,results/mult_8/rdfs/mult_8_rdfs_po06_p_6.log,results/mult_8/rdfs/mult_8_rdfs_po06_p_6.do
mult_8,rdfs,7,487,p[7],777,ok,results/mult_8/rdfs/mult_8_rdfs_po07_p_7.png,results/mult_8/rdfs/mult_8_rdfs_po07_p_7.bdd.txt,results/mult_8/rdfs/mult_8_rdfs_po07_p_7.dot,results/mult_8/rdfs/mult_8_rdfs_po07_p_7.log,results/mult_8/rdfs/mult_8_rdfs_po07_p_7.do
